loud,dance,valence,tempo,energy,live,key,acoustic,speech,type
-5.883,0.648,0.603,159.145,0.738,0.292,6,0.0408,0.247,1
-5.352,0.66,0.625,103.009,0.805,0.159,1,0.0192,0.153,0
-4.611,0.468,0.457,183.959,0.865,0.139,5,0.031,0.0789,0
-4.867,0.545,0.458,125.014,0.78,0.0828,7,0.0309,0.0436,1
-8.26,0.593,0.29,168.037,0.788,0.142,0,0.358,0.146,0
-3.571,0.583,0.601,92.959,0.885,0.357,0,0.0244,0.106,0
-4.078,0.413,0.35,128.017,0.856,0.343,0,0.0289,0.0808,0
-4.642,0.651,0.718,153.958,0.82,0.0921,0,0.321,0.0316,1
-4.872,0.71,0.704,114.024,0.749,0.0703,7,0.0908,0.0315,0
-2.505,0.645,0.568,124.915,0.891,0.379,6,0.0932,0.0387,0
-3.679,0.784,0.567,110.004,0.85,0.112,9,0.0492,0.0691,0
-3.072,0.793,0.842,125.063,0.896,0.105,7,0.0136,0.0417,0
-4.034,0.755,0.491,102.002,0.751,0.0812,8,0.0635,0.0748,0
-7.321,0.76,0.759,100.315,0.652,0.307,6,0.0348,0.232,0
-6.886,0.697,0.721,81.946,0.621,0.162,9,0.0802,0.25,0
-7.064,0.422,0.331,119.93,0.264,0.132,8,0.922,0.0322,1
-11.97,0.596,0.944,109.902,0.869,0.0678,10,0.0116,0.037,0
-6.131,0.645,0.35,131.899,0.589,0.145,6,0.00396,0.0523,0
-6.131,0.645,0.35,131.899,0.589,0.145,6,0.00396,0.0523,0
-4.17,0.549,0.615,125.594,0.831,0.0842,0,0.0281,0.0304,0
-5.356,0.76,0.78,123.002,0.886,0.623,9,0.0219,0.0258,0
-9.524,0.636,0.331,84.804,0.436,0.135,7,0.112,0.139,0
-3.78,0.743,0.899,144.062,0.807,0.309,1,0.0435,0.0364,0
-2.833,0.557,0.697,89.987,0.913,0.117,5,0.0601,0.0479,0
-3.724,0.811,0.962,134.064,0.879,0.109,9,0.0476,0.0514,0
-3.737,0.693,0.729,102.052,0.919,0.0901,11,0.136,0.0651,1
-5.293,0.646,0.868,191.874,0.796,0.214,6,0.46,0.312,0
-5.465,0.725,0.76,119.939,0.68,0.158,8,0.162,0.0306,2
-7.11,0.855,0.626,98.015,0.664,0.0937,9,0.165,0.0607,1
-4.106,0.587,0.825,129.972,0.965,0.138,11,0.0362,0.101,2
-3.605,0.595,0.549,124.989,0.942,0.0984,6,0.00431,0.0707,0
-4.097,0.602,0.554,75.09,0.707,0.165,11,0.393,0.302,0
-3.399,0.697,0.811,137.976,0.813,0.129,11,0.132,0.0679,0
-4.933,0.795,0.613,127.984,0.819,0.346,11,0.184,0.0433,0
-5.414,0.648,0.943,160.02,0.785,0.148,7,0.0561,0.165,1
-10.068,0.669,0.52,64.934,0.308,0.0984,11,0.883,0.029,0
-3.499,0.713,0.958,90.937,0.783,0.0449,7,0.0467,0.124,1
-6.819,0.652,0.962,159.911,0.757,0.0886,1,0.286,0.153,1
-8.798,0.887,0.677,114.016,0.584,0.101,11,0.41,0.0381,1
-5.762,0.482,0.144,92.494,0.706,0.105,9,0.135,0.0609,1
-3.782,0.509,0.638,127.946,0.79,0.316,6,0.332,0.0374,0
-5.697,0.532,0.643,124.08,0.783,0.161,2,0.0038,0.0523,0
-4.165,0.726,0.867,143.994,0.698,0.309,5,0.049,0.0431,1
-8.966,0.794,0.862,116.047,0.811,0.101,6,0.0426,0.038,1
-4.193,0.491,0.358,82.037,0.677,0.438,11,0.152,0.0269,2
-4.747,0.675,0.768,103.053,0.89,0.151,1,0.0469,0.0347,1
-4.99,0.31,0.299,85.409,0.766,0.101,10,0.311,0.0587,0
-2.663,0.714,0.838,125.927,0.905,0.146,8,0.00855,0.0289,0
-4.785,0.376,0.303,169.515,0.696,0.11,0,0.141,0.0949,0
-4.583,0.81,0.447,122.985,0.885,0.268,5,0.101,0.108,1
-3.469,0.485,0.201,126.027,0.915,0.0987,2,0.00441,0.0544,0
-3.469,0.485,0.201,126.027,0.915,0.0987,2,0.00441,0.0544,0
-4.817,0.56,0.404,179.771,0.756,0.55,7,0.00635,0.0415,0
-4.805,0.711,0.801,128.001,0.7,0.215,1,0.00498,0.046,0
-9.366,0.403,0.654,97.161,0.709,0.132,9,0.0746,0.0885,0
-4.457,0.641,0.847,146.078,0.922,0.0862,2,0.0291,0.0786,0
-6.985,0.781,0.662,94.992,0.526,0.0457,6,0.0619,0.293,0
-4.457,0.721,0.53,127.92,0.834,0.104,7,0.337,0.0345,0
-4.457,0.721,0.53,127.92,0.834,0.104,7,0.337,0.0345,0
-4.457,0.721,0.53,127.92,0.834,0.104,7,0.337,0.0345,0
-5.794,0.613,0.484,80.003,0.622,0.37,1,0.00882,0.0334,0
-6.262,0.53,0.349,119.964,0.422,0.107,5,0.407,0.0342,0
-5.802,0.6,0.286,121.07,0.663,0.119,3,0.225,0.0477,1
-4.945,0.662,0.465,121.979,0.71,0.119,1,0.0603,0.0364,0
-7.335,0.509,0.244,75.089,0.538,0.104,7,0.385,0.0572,0
-3.589,0.668,0.531,135.958,0.758,0.204,7,0.0338,0.158,1
-3.589,0.668,0.531,135.958,0.758,0.204,7,0.0338,0.158,1
-4.106,0.587,0.825,129.972,0.965,0.138,11,0.0362,0.101,0
-2.872,0.727,0.757,132.077,0.938,0.0911,11,0.00432,0.288,0
-4.762,0.866,0.838,119.991,0.606,0.0861,7,0.00381,0.04,2
-4.762,0.866,0.838,119.991,0.606,0.0861,7,0.00381,0.04,1
-3.145,0.612,0.438,129.042,0.84,0.116,11,0.112,0.0509,0
-5.902,0.624,0.781,86.059,0.685,0.126,7,0.0105,0.12,0
-9.105,0.685,0.36,79.991,0.474,0.149,0,0.779,0.0313,0
-4.343,0.421,0.63,84.803,0.873,0.123,10,0.0653,0.0565,0
-6.111,0.641,0.681,128.126,0.725,0.463,7,0.271,0.0943,0
-5.777,0.466,0.108,91.673,0.672,0.147,8,0.622,0.068,0
-7.443,0.79,0.473,130.009,0.616,0.171,0,0.0589,0.0596,0
-5.207,0.77,0.279,125.096,0.649,0.0907,6,0.113,0.0307,1
-3.882,0.603,0.445,107.995,0.67,0.112,2,0.00408,0.0249,0
