"summerhit","song","lodness","tempo",""
"0","Hombres","-5.062","172.365",""
"0","Devuélveme a mi chica","-5.062","172.365",""
"0","Sin llaves","-7.25","149.898",""
"0","Sin llaves","-7.25","149.898",""
"0","Balada Boa","-7.613","128.017",""
"0","Las mentiras del viento","-13.36","126.969",""
"0","Move Your Body","-3.797","160.802",""
"0","Todo por nada","-2.97","153.019",""
"0","Girl","-3.374","99.943",""
"0","Galway Girl","-3.374","99.943",""
"0","Seven Seconds","-9.621","154.198",""
"0","Bellísimo","-3.143","125.087",""
"0","No sucederá más","-4.945","147.766",""
"0","Hey Mama","-4.091","85.979",""
"0","I'm Going Home","-20.85","68.947",""
"0","Meet Me Halfway","-6.857","130",""
"0","Chiquitita","-10.965","124.658",""
"0","Un paso adelante","-5.84","153.756",""
"0","If You Love Somebody, Set Them Free","-6.485","125.058",""
"0","Gente distinta","-3.621","99.943",""
"0","Amor, amar","-5.96","82.005",""
"0","Unchain my Heart","-12.976","117.969",""
"0","(You Drive Me) Crazy","-4.288","104.001",""
"1","Lloraré las penas","-5.336","110.109",""
"0","Have You Seen Her","-8.409","130.832",""
"0","Congratulations","-4.261","123.087",""
"0","This Girl","-4.77","121.972",""
"0","Wonderful Life","-12.467","106.055",""
"0","I Could Be the One","-3.782","127.946",""
"0","Mi tierra","-8.846","119.974",""
"0","¡Cómo te mueves!","-4.255","107.142",""
"1","Heaven's What I Feel (Corazón prohibido)","-5.261","100.754",""
"0","G.T.O.","-5.205","180.124",""
"0","Pavo real","-11.442","123.815",""
"0","Physical","-11.442","123.815",""
"0","Boom! Shake the Room","-3.667","100.177",""
"0","Ven otra vez","-3.986","84.359",""
"0","Esa eres tú","-3.019","107.415",""
"0","Esa eres tú","-3.019","107.415",""
"0","Life","-4.29","148.015",""
"0","Milonga del marinero y el capitán","-4.132","96.382",""
"0","Nada fue un error","-6.784","138.495",""
"0","María","-4.768","127.979",""
"0","Salvation","-4.768","127.979",""
"0","Busindree Reel","-4.768","127.979",""
"0","Maria Maria","-4.768","127.979",""
"0","Rude","-3.78","144.062",""
"0","Rude","-3.78","144.062",""
"0","Locked Out of Heaven","-4.165","143.994",""
"0","What's the Frequency, Kenneth?","-2.985","95.072",""
"0","Capricornio","-6.056","90.528",""
"0","Tú no tienes corazón","-6.407","176.133",""
