label,song,loud,dance,energy,tempo,variance,live
"1","Uptown Funk","-7.223","0.86","0.93","114.99","0.61","0.03"
"1","Uptown Funk","-7.223","0.86","0.93","114.99","0.61","0.03"
"1","Don't Worry","-3.586","0.83","0.88","127.06","0.81","0.02"
"0","Prayer in C","-5.356","0.76","0.78","123","0.89","0.62"
"0","Lovers on the Sun","-2.505","0.65","0.57","124.92","0.89","0.38"
"0","Wings","-3.571","0.58","0.6","92.96","0.89","0.36"
"0","La La La (Brasil 2014)","-4.933","0.8","0.61","127.98","0.82","0.35"
"0","Blame","-4.078","0.41","0.35","128.02","0.86","0.34"
"0","Rude","-3.78","0.74","0.9","144.06","0.81","0.31"
"0","Rude","-3.78","0.74","0.9","144.06","0.81","0.31"
"0","Talk Dirty","-7.321","0.76","0.76","100.32","0.65","0.31"
"1","Dangerous","-5.883","0.65","0.6","159.15","0.74","0.29"
"0","Stolen Dance","-10.158","0.71","0.59","85.99","0.33","0.22"
"1","Happy","-5.293","0.65","0.87","191.87","0.8","0.21"
"2","Happy","-5.293","0.65","0.87","191.87","0.8","0.21"
"0","Human","-4.097","0.6","0.55","75.09","0.71","0.17"
"0","Wiggle","-6.886","0.7","0.72","81.95","0.62","0.16"
"0","Problem","-5.352","0.66","0.63","103.01","0.81","0.16"
"1","Am I Wrong","-5.465","0.73","0.76","119.94","0.68","0.16"
"0","Shake it Off","-5.414","0.65","0.94","160.02","0.79","0.15"
"0","Dark Horse","-6.131","0.65","0.35","131.9","0.59","0.15"
"0","Dark Horse","-6.131","0.65","0.35","131.9","0.59","0.15"
"0","Llegará","-8.26","0.59","0.29","168.04","0.79","0.14"
"0","Puppeteer","-4.611","0.47","0.46","183.96","0.87","0.14"
"0","Timber","-4.106","0.59","0.83","129.97","0.97","0.14"
"0","Royals","-9.524","0.64","0.33","84.8","0.44","0.14"
"0","All of Me","-7.064","0.42","0.33","119.93","0.26","0.13"
"0","Can't Remember to Forget You","-3.399","0.7","0.81","137.98","0.81","0.13"
"0","A prueba de ti","-2.833","0.56","0.7","89.99","0.91","0.12"
"0","Chandelier","-5.707","0.59","0.24","76.89","0.3","0.12"
"0","Chandelier","-5.707","0.59","0.24","76.89","0.3","0.12"
"0","The Monster","-3.679","0.78","0.57","110","0.85","0.11"
"1","All About That Bass","-3.724","0.81","0.96","134.06","0.88","0.11"
"0","All About That Bass","-3.724","0.81","0.96","134.06","0.88","0.11"
"0","Cola Song","-3.072","0.79","0.84","125.06","0.9","0.11"
"0","We Are One (Ole Ola)","-3.605","0.6","0.55","124.99","0.94","0.1"
"1","Changes","-10.068","0.67","0.52","64.93","0.31","0.1"
"0","Trumpets","-4.884","0.63","0.64","81.9","0.7","0.1"
"2","Bailando","-7.11","0.86","0.63","98.02","0.66","0.09"
"0","Bailando","-7.11","0.86","0.63","98.02","0.66","0.09"
"0","Diez mil maneras","-4.642","0.65","0.72","153.96","0.82","0.09"
"0","Tocado y hundido","-3.737","0.69","0.73","102.05","0.92","0.09"
"0","Terriblemente cruel","-4.17","0.55","0.62","125.59","0.83","0.08"
"1","Hey Brother","-4.867","0.55","0.46","125.01","0.78","0.08"
"0","Summer","-4.034","0.76","0.49","102","0.75","0.08"
"0","No amanece","-4.872","0.71","0.7","114.02","0.75","0.07"
"0","Waves","-11.97","0.6","0.94","109.9","0.87","0.07"
"0","Roar","-4.817","0.56","0.4","179.77","0.76","0.55"
"0","Chasing the Sun","-6.111","0.64","0.68","128.13","0.73","0.46"
"0","We Can't Stop","-5.794","0.61","0.48","80","0.62","0.37"
"0","I Could Be the One","-3.782","0.51","0.64","127.95","0.79","0.32"
"1","Locked Out of Heaven","-4.165","0.73","0.87","143.99","0.7","0.31"
"0","More than Friends","-4.583","0.81","0.45","122.99","0.89","0.27"
"1","Cero","-4.193","0.49","0.36","82.03","0.68","0.22"
"0","Die Young","-4.805","0.71","0.8","128","0.7","0.22"
"1","Feel This Moment","-3.589","0.67","0.53","135.96","0.76","0.2"
"0","Feel This Moment","-3.589","0.67","0.53","135.96","0.76","0.2"
"1","Scream & Shout","-7.443","0.79","0.47","130.01","0.62","0.17"
"1","Wake Me Up!","-5.697","0.53","0.64","124.08","0.78","0.16"
